Doi,Novelty,Year
10.1371/journal.pone.0039160,-8.967908699272972,2012
10.1371/journal.pone.0039167,-7.622891831090591,2012
10.1371/journal.pone.0031506,-7.410220129958248,2012
10.1371/journal.pone.0034052,-7.004402874309138,2012
10.1371/journal.pone.0036610,-7.938765117188523,2012
10.1371/journal.pone.0031515,-8.93430157338211,2012
10.1371/journal.pone.0036616,-8.20194372203119,2012
10.1371/journal.pone.0034064,-6.965102321757437,2012
10.1371/journal.pone.0034067,-8.074281894797162,2012
10.1371/journal.pone.0039186,-6.920022182778019,2012
10.1371/journal.pone.0039191,-7.004402874309138,2012
10.1371/journal.pone.0049435,-9.347470080761276,2012
10.1371/journal.pone.0031536,-7.13315848858378,2012
10.1371/journal.pone.0052180,67.67808624426152,2012
10.1371/journal.pone.0034086,-7.904738961420258,2012
10.1371/journal.pone.0031541,-7.833620251094308,2012
10.1371/journal.pone.0039209,-7.43441687903245,2012
10.1371/journal.pone.0041770,-8.984450939530044,2012
10.1371/journal.pone.0039216,-6.977787124022035,2012
10.1371/journal.pntd.0001717,-7.410220129958249,2012
10.1371/journal.pone.0052208,-6.894141352925562,2012
10.1371/journal.pone.0036664,-8.282322220461202,2012
10.1371/journal.pone.0041780,-8.024429695278888,2012
10.1371/journal.pone.0046885,50.80617340349492,2012
10.1371/journal.pone.0036669,-7.440406976855186,2012
10.1371/journal.pone.0044332,46.59649877179621,2012
10.1371/journal.pntd.0001729,-7.051652438715129,2012
10.1371/journal.pone.0036670,-7.28962073535195,2012
10.1371/journal.pntd.0001731,-7.410220129958249,2012
10.1371/journal.pone.0031573,-7.664674264703973,2012
10.1371/journal.pone.0039233,-7.508454806816113,2012
10.1371/journal.pone.0034118,-7.434253550625857,2012
10.1371/journal.pone.0031576,-7.381788613364547,2012
10.1371/journal.pntd.0001741,-7.496340570653091,2012
10.1371/journal.pone.0031587,-7.648718957715758,2012
10.1371/journal.pone.0031592,-7.517079454617912,2012
10.1371/journal.pone.0036694,-9.136862953260762,2012
10.1371/journal.pone.0041813,-6.993298753701553,2012
10.1371/journal.pone.0034150,-6.877537144222944,2012
10.1371/journal.pone.0031611,-7.6192237641601,2012
10.1371/journal.pone.0031613,-9.201506951211831,2012
10.1371/journal.pone.0034158,-10.524773317740024,2012
10.1371/journal.pone.0036718,-7.4206955173426685,2012
10.1371/journal.pone.0041843,-7.194751106274956,2012
10.1371/journal.pone.0031628,-7.932086828201966,2012
10.1371/journal.pone.0039291,-10.213136866688956,2012
10.1371/journal.pone.0034176,-7.410220129958249,2012
10.1371/journal.pone.0039298,-8.984450939530044,2012
10.1371/journal.pone.0041853,-8.508955561864234,2012
10.1371/journal.pone.0036740,-8.984450939530044,2012
10.1371/journal.pone.0034185,-10.06917158478597,2012
10.1371/journal.pone.0041868,-7.503839715027738,2012
10.1371/journal.pone.0034198,-7.783529502797026,2012
10.1371/journal.pone.0046974,6.97983121538148,2012
10.1371/journal.pntd.0001824,-7.022751298665415,2012
10.1371/journal.pone.0034206,-7.525121326622726,2012
10.1371/journal.pone.0036766,-8.40651626237145,2012
10.1371/journal.pone.0041884,-6.765092702575243,2012
10.1371/journal.pntd.0001833,-7.234740892991406,2012
10.1371/journal.pone.0031677,-7.985431941208392,2012
10.1371/journal.pone.0041903,-8.435458151722361,2012
10.1371/journal.pone.0052357,33.43262334366601,2012
10.1371/journal.pone.0031685,-8.558349988522048,2012
10.1371/journal.pntd.0001853,-8.221975675157355,2012
10.1371/journal.pone.0031688,-9.143695095079195,2012
10.1371/journal.pone.0049602,2.7415575313037817,2012
10.1371/journal.pone.0041921,-8.207836804782163,2012
10.1371/journal.pone.0034247,-8.558349988522048,2012
